,endTime,artistName,trackName,msPlayed,uniqueID,inLibrary,album,track_uri
8531,2021-01-06 10:51,Stray Kids,God’s Menu,167922,Stray Kids:God’s Menu,0,,
8532,2021-01-06 10:54,WINNER,Hold,176404,WINNER:Hold,0,,
8533,2021-01-06 10:58,DAY6,I Loved You,234534,DAY6:I Loved You,0,,
8534,2021-01-06 11:53,DAY6,예뻤어 You Were Beautiful,155705,DAY6:예뻤어 You Were Beautiful,0,,
8535,2021-01-06 12:05,OH MY GIRL,Dolphin,101954,OH MY GIRL:Dolphin,0,,
8536,2021-01-06 12:08,BTS,Make It Right (feat. Lauv),226321,BTS:Make It Right (feat. Lauv),0,,
8537,2021-01-06 12:12,DAY6,Congratulations,229293,DAY6:Congratulations,0,,
8538,2021-01-06 12:16,BTS,Boy With Luv (feat. Halsey),229773,BTS:Boy With Luv (feat. Halsey),0,,
8539,2021-01-06 12:19,Monsta X,MIDDLE OF THE NIGHT,166213,Monsta X:MIDDLE OF THE NIGHT,0,,
8540,2021-01-06 12:22,TREASURE,I LOVE YOU,168959,TREASURE:I LOVE YOU,0,,
8541,2021-01-06 12:26,BTS,Spring Day,234567,BTS:Spring Day,0,,
8542,2021-01-06 12:29,WINNER,REALLY REALLY,181672,WINNER:REALLY REALLY,0,,
8543,2021-01-06 12:59,G-DRAGON,Without You (Feat. ROSE),62549,G-DRAGON:Without You (Feat. ROSE),0,,
8544,2021-01-07 16:35,DAY6,예뻤어 You Were Beautiful,127691,DAY6:예뻤어 You Were Beautiful,0,,
8545,2021-01-07 16:39,BTS,DNA,223122,BTS:DNA,0,,
8546,2021-01-07 16:42,WINNER,EVERYDAY,206350,WINNER:EVERYDAY,0,,
8547,2021-01-07 16:42,TOMORROW X TOGETHER,Can't You See Me?,5256,TOMORROW X TOGETHER:Can't You See Me?,0,,
8548,2021-01-08 12:41,Simon Dominic,Simon Dominic,60949,Simon Dominic:Simon Dominic,0,,
8549,2021-01-08 12:42,Simon Dominic,Who You?,17600,Simon Dominic:Who You?,0,,
8550,2021-01-08 12:42,Jay Park,119 REMIX,0,Jay Park:119 REMIX,0,,
8551,2021-01-08 12:42,GRAY,Dingo X GRAY - Moon Blue,13226,GRAY:Dingo X GRAY - Moon Blue,0,,
8552,2021-01-08 12:43,Loco,Late Night,5205,Loco:Late Night,0,,
8553,2021-01-08 12:43,GRAY,Just Do It,5311,GRAY:Just Do It,0,,
8554,2021-01-08 14:12,Stray Kids,Mixtape : On Track,5653,Stray Kids:Mixtape : On Track,0,,
8555,2021-01-08 14:12,The Rose,sorry,42048,The Rose:sorry,0,,
8556,2021-01-08 14:13,TOMORROW X TOGETHER,Blue Hour,16575,TOMORROW X TOGETHER:Blue Hour,0,,
8557,2021-01-08 14:13,NCT U,"Coming Home (Sung by TAEIL, DOYOUNG, JAEHYUN, HAECHAN)",15018,"NCT U:Coming Home (Sung by TAEIL, DOYOUNG, JAEHYUN, HAECHAN)",0,,
8558,2021-01-08 14:14,The Rose,She's In The Rain,10858,The Rose:She's In The Rain,0,,
8559,2021-01-08 14:14,The Rose,RED,41600,The Rose:RED,0,,
8560,2021-01-08 14:14,The Rose,I.L.Y.,14144,The Rose:I.L.Y.,0,,
8561,2021-01-08 14:14,The Rose,sorry,6954,The Rose:sorry,0,,
8562,2021-01-08 14:53,BLACKPINK,Lovesick Girls,192765,BLACKPINK:Lovesick Girls,0,,
8563,2021-01-08 14:54,TWICE,Knock Knock,34615,TWICE:Knock Knock,0,,
8564,2021-01-08 14:57,TOMORROW X TOGETHER,Can't You See Me?,201445,TOMORROW X TOGETHER:Can't You See Me?,0,,
8565,2021-01-08 15:01,TOMORROW X TOGETHER,Blue Hour,209105,TOMORROW X TOGETHER:Blue Hour,0,,
8566,2021-01-08 15:04,BTS,Stay Gold,162970,BTS:Stay Gold,0,,
8567,2021-01-08 15:06,Stray Kids,God’s Menu,167922,Stray Kids:God’s Menu,0,,
8568,2021-01-08 15:10,iKON,LOVE SCENARIO,209648,iKON:LOVE SCENARIO,0,,
8569,2021-01-08 15:13,DAY6,누군가 필요해 I Need Somebody,218737,DAY6:누군가 필요해 I Need Somebody,0,,
8570,2021-01-08 15:17,DAY6,Time of Our Life,205575,DAY6:Time of Our Life,0,,
8571,2021-01-08 15:22,DAY6,예뻤어 You Were Beautiful,283160,DAY6:예뻤어 You Were Beautiful,0,,
8572,2021-01-08 15:25,BTS,Boy With Luv (feat. Halsey),229773,BTS:Boy With Luv (feat. Halsey),0,,
8573,2021-01-08 15:29,DAY6,Congratulations,229293,DAY6:Congratulations,0,,
8574,2021-01-08 15:33,EXO,Love Shot,200306,EXO:Love Shot,0,,
8575,2021-01-08 15:36,Stray Kids,Back Door,189286,Stray Kids:Back Door,0,,
8576,2021-01-08 15:40,BTS,FAKE LOVE,242333,BTS:FAKE LOVE,0,,
8577,2021-01-08 15:44,WINNER,REALLY REALLY,203056,WINNER:REALLY REALLY,0,,
